"task_number","technique","tree_depth","repetition","start_time","end_time","ellapsed_time","num_windows","subject"
"32","M","5","1",1692527,1756263,63.736,1,"s3"
"33","M","5","2",1757996,1822883,64.887,1,"s3"
"34","M","3","2",1824568,1874034,49.466,1,"s3"
"35","M","4","3",1875878,1941048,65.17,1,"s3"
"36","M","4","0",1942677,2014323,71.646,1,"s3"
"1","P","5","3",130127,163300,33.173,5,"s4"
"2","P","3","1",166994,192980,25.986,3,"s4"
"3","P","4","1",194298,225832,31.534,5,"s4"
"4","P","4","3",227338,260397,33.059,4,"s4"
"5","P","4","2",261168,287120,25.952,4,"s4"
"6","P","3","3",288113,309178,21.065,3,"s4"
"7","P","3","2",310433,331068,20.635,3,"s4"
"8","P","3","0",332122,391060,18.938,4,"s4"
"9","P","5","2",392688,446586,53.898,5,"s4"
"10","P","4","0",447548,478536,30.988,4,"s4"
"11","P","5","0",480087,522647,42.56,5,"s4"
"12","P","5","1",526601,563369,36.768,5,"s4"
"13","S","5","2",886512,917698,31.186,0,"s4"
"14","S","5","3",919138,953851,34.713,0,"s4"
"15","S","5","0",955034,982186,27.152,0,"s4"
"16","S","4","0",983633,1001712,18.079,0,"s4"
"17","S","3","1",1002768,1029983,27.215,0,"s4"
"18","S","3","2",1031566,1047730,16.164,0,"s4"
"19","S","4","1",1048782,1066955,18.173,0,"s4"
"20","S","4","3",1068515,1095726,27.211,0,"s4"
"21","S","3","0",1097239,1128765,31.526,0,"s4"
"22","S","4","2",1130034,1154086,24.052,0,"s4"
"23","S","5","1",1155330,1183917,28.587,0,"s4"
"24","S","3","3",1185176,1205493,20.317,0,"s4"
"25","M","4","2",1342733,1367965,25.232,1,"s4"
"26","M","3","1",1369430,1402900,33.47,1,"s4"
"27","M","3","3",1404152,1434249,30.097,1,"s4"
"28","M","4","3",1435673,1471876,36.203,1,"s4"
"29","M","5","3",1473255,1517718,44.463,1,"s4"
"30","M","3","0",1519918,1538231,18.313,1,"s4"
"31","M","5","0",1539259,1573206,33.947,1,"s4"
"32","M","5","2",1574701,1615076,40.375,1,"s4"
"33","M","5","1",1616368,1656760,40.392,1,"s4"
"34","M","4","0",1658063,1698703,40.64,1,"s4"
"35","M","4","1",1700219,1736296,36.077,1,"s4"
"36","M","3","2",1737934,1767046,29.112,1,"s4"
"1","M","4","0",81020,122987,41.967,1,"s5"
"2","M","4","1",123924,150154,26.23,1,"s5"
"3","M","4","3",151164,188339,37.175,1,"s5"
"4","M","4","2",189324,232699,43.375,1,"s5"
"5","M","3","3",233532,254651,21.119,1,"s5"
"6","M","3","1",255620,278715,23.095,1,"s5"
"7","M","3","2",279524,309227,29.703,1,"s5"
"8","M","5","3",309964,339467,29.503,1,"s5"
"9","M","5","2",340220,377866,37.646,1,"s5"
"10","M","5","0",379052,414090,35.038,1,"s5"
"11","M","3","0",415124,449498,34.374,1,"s5"
"12","M","5","1",450436,480562,30.126,1,"s5"
"13","S","5","1",618213,646194,27.981,0,"s5"
"14","S","4","3",647012,673595,26.583,0,"s5"
"15","S","4","2",674540,703930,29.39,0,"s5"
